,SUPPLIER NAME,ITEM DESCRIPTION,UNIT OF MEASURE,TOTAL QUANTITY,PAYMENT AMOUNT
329,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  900,R354  581.80
330,CLINIPRO (PTY) LTD,Battery Alkaline,Each,4  400,R503  723.00
331,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  100,R752  143.70
332,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,150,R102  565.05
333,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
334,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,700,R100  786.00
335,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,R575  920.00
336,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
337,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
338,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,R431  940.00
339,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
340,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
341,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
342,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
343,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,R143  980.00
344,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
345,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
346,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,800,R547  013.60
347,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,700,R100  786.00
348,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
349,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
350,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R431  940.00
351,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,500,R684  190.00
352,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  500,R 1  025  650.50
353,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,5  900,R675  446.75
354,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,700,R100  786.00
355,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,R575  920.00
356,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,R575  940.00
357,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,4  000,R575  920.00
358,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,6  000,R863  880.00
359,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,6  000,R863  880.00
360,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,716,R103  089.68
361,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,1  000,R143  980.00
362,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,3  000,R559  866.00
363,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,6  000,R863  880.00
364,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,5  284,R760  790.32
365,CLINIPRO (PTY) LTD,Germkill hand  sanitizer 1  litre  refill,Each,5  684,R818  382.32
366,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R143  980.00
367,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,500,R341  883.50
368,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,500,R71  990.00
369,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,2  000,R228  965.00
370,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
371,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
372,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
373,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  500,R215  970.00
374,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,R863  880.00
375,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,3  000,R431  940.00
376,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,3  000,R559  866.00
377,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,R863  880.00
378,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,R863  880.00
379,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,R863  880.00
380,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,6  000,R863  880.00
381,CLINIPRO  (PTY)  LTD,Germkill  hand  sanitizer  1  litre  refill,Each,1  000,R186  622.00
382,CTU'S  MANUFACTURING,Body bags  plastic  PVC  small,,10  000,R608  000.00
383,CTU'S  MANUFACTURING,Body bags  plastic  PVC  medium,,8  000,R608  320.00
384,CTU'S  MANUFACTURING,body bags  plastic  PVC  large,,8  000,R834  320.00
385,CTU'S  MANUFACTURING,body bags  plastic  PVC  x-  large,,8  000,R903  840.00
386,CTU'S  MANUFACTURING,body bags plastic  PVC  xx-large,,8  000,R956  000.00
387,CTU'S  MANUFACTURING,body bags  plastic  PVC  xxx-large,,8  000,R  1  042  880.00
388,CTU'S  MANUFACTURING,shrouds  PVC.  small,,200,R17  832.00
389,CTU'S  MANUFACTURING,shrouds  PVC.  medium,,200,R28  244.00
390,CTU'S  MANUFACTURING,shrouds  PVC.  large,,200,R32  950.00
391,CTU'S  MANUFACTURING,shrouds  PVC.  x large,,200,R34  762.00
392,BAFOREGILE,Catering  :  MRTT quarantine  centre,,,R124  592.56
393,BAFOREGILE,Catering  :  MRTT quarantine  centre,,,R161  115.71
394,BAFOREGILE,Catering  :  MRTT quarantine  centre,,,R174  115.71
395,AGGY M  FOODS,Catering  :  Zithabiseni  Quarantine  facility,,1,R6  514.88
396,EARTH  SCIENCE  PROJECTS,A4  printing  paper,,800,R322  000.00
397,CATRINITION  TRADING,Battery pack  Duracell  AAA,,8  000,R231  920.00
398,MPUMALANGA  REGIONAL  TRAINING  Accommodation for  Quarantine  site,,,56,R431  828.80
399,SIPHESIHLE  MWALE  HOLDING,Dust  masks,,15  000,R375  000.00
400,AGGY M  FOODS,Catering  :  Zithabiseni  Quarantine  facility,,1,R3  038.45
401,JBLM  QUANTITY SURVEYORS,Construction,,1,R694  708.30
402,ALWANDE  SNETHEMBA  TRADING,Electrical  supplies,,3  872,R485  567.87
403,LOMBI BUSINESS  ENTERPRISE,Catering  :  Witbank  Dam  for  Quarantine  facility,,1,R194  642.65
404,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R154  790.00
405,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R162  750.00
406,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R141  860.00
407,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R127  140.00
408,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R319  820.00
409,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R182  340.00
410,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R483  540.00
411,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R154  480.00
412,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R119  780.00
413,DANA  AGENCY,Accommodation for  Cuban health Professionals,,13,R143  490.00
414,ECOMED  MEDICAL,Thermometer  Infra-Red  non-contact scanner,,3  000,R5  624  670.00
415,MPUMALANGA  COMMUNITY RADIO,"15  Mpumalanga  Radio Stations/pro,/ advertisement/jingle  and  slots",,1,R 7  535  000.00
416,MAGOBENI MERIKA  TRADING,Thermometer  Infra-Red  non-contact scanner,,3  000,R7  050  000.00
417,JOIN FORCES, TB  HospitalGeneral building  repairs  and minor  renovations  to  Barberton,,1,R 2  607  132.85
418,GOLD  DUST DEVELOPMENTS,Lattice  Arrow Reflective Tape(50mmx45m)-Yellow and Red,,4  000,R 3  304  000.00
419,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,23,R156  493.60
420,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,21,R205  002.00
421,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,45,R397  636.00
422,MPUMALANGA  REGIONAL  TRAINING,Accommodation for  COVID-19  Quarantine  23  G,,44,R447  446.00
423,BLEVILLA,Battery: DC  3VX  AAA  (18  per pack),,2  000,R376  000.00
424,BLEVILLA,Jumbo  Rolls  Disposable  Paper,2900-BOX,6  000,R 1  799  940.00
425,BLEVILLA,A4  Printing  Paper,1200-BOX,2900-BOX,R 1  444  200.00
426,BLEVILLA,A3  Printing  Paper,,1200-BOX,R 1  199  880.00
427,BLEVILLA,Stationery -  Black  Pen,,1  200,R34  800.00
428,ARFOSHINE  HOLDINGS,Supply and  Delivery of Branded Umbrellas  size  156  cm,,7  000,R805  450.00
429,BILLMARRY CONSTRUCTION,Still water  (500ml),,50  000,R490  000.00
430,DIKARABO TRADING CO-OPERATIO,Mask  3layer  of fabric(as  per  the DTIC  guidelines  and specification),,3  000,R75  000.00
431,MPUMALANGA  NCRF  HUB,live  broadcasts  30  minutes Weekly,,1,R1  594  700.00
432,MPUMALANGA  RISE  FM,Radio  Advertisements,,1,R497  593.50
433,CLINIPRO (PTY)  LTD,Germkill Hand  Sanitizer1  litter Refill,,3  000,R431  940.00
434,CLINIPRO (PTY)  LTD,Germkill Hand  Sanitizer1  litter Refill,,3  000,R431  940.00
435,CLINIPRO (PTY)  LTD,Germkill Hand  Sanitizer1  litter Refill,,3  000,R431  940.00
436,KHUNO TRADING,Paintworks  done,,1,R22  640.63
437,MERIDIAN HYGIENE,Protective  clothing,,,R 3  467  250.00
